CO2 Record Number,Aeroplane Type Certificate Holder,Aeroplane Type Designation,Aeroplane TCDS No,Aeroplane Variant,Aeroplane Modification No,Aeroplane Modification Description,Aeroplane MTOM (kg),Engine Type Certificate Holder,Engine Type Designation,Engine TCDS No,Engine Modification No,Engine Modification Description,Number of Engines,Propeller TC Holder,Propeller Type Designation,Propeller TCDS No,Propeller Modification No,Propeller Modification Description,Date of CO2 Certification,EASA CS,EASA CS Issue No,ICAO Annex,ICAO Annex Edition/Amendment,Certified CO2 Compliance,CO2 Metric Value (kg/km),CAEP/10 InP Limit (kg/km),CAEP/10 NT Limit (kg/km),CO2 Metric Value (% of InP limit),CO2 Metric Value (% of NT Limit),Notes,Date Record added,Date Record amended,Revision Notes
CO200001,Airbus S.A.S.,A330-941,EASA.A.004,900,,,"242,000",Rolls-Royce,Trent 7000-72,EASA.E.036,,,2,,,,,,5/21/2021,CS-CO2,"Issue 1, July 2019",Annex 16 Vol. III,"1st Edition, July 2017",CAEP/10 InProduction,1.489,1.649,1.578,90.3,94.4,,5/21/2021,,
CO200002,Airbus S.A.S.,A330-941,EASA.A.004,901,,,"242,000",Rolls-Royce,Trent 7000-72,EASA.E.036,,,2,,,,,,5/21/2021,CS-CO2,"Issue 1, July 2019",Annex 16 Vol. III,"1st Edition, July 2017",CAEP/10 InProduction,1.489,1.649,1.578,90.3,94.4,,5/21/2021,,
CO200003,Airbus S.A.S.,A330-941,EASA.A.004,902,,,"238,000",Rolls-Royce,Trent 7000-72,EASA.E.036,,,2,,,,,,5/21/2021,CS-CO2,"Issue 1, July 2019",Annex 16 Vol. III,"1st Edition, July 2017",CAEP/10 InProduction,1.466,1.632,1.562,89.8,93.9,,5/21/2021,,
CO200004,Airbus S.A.S.,A330-941,EASA.A.004,903,,,"234,000",Rolls-Royce,Trent 7000-72,EASA.E.036,,,2,,,,,,5/21/2021,CS-CO2,"Issue 1, July 2019",Annex 16 Vol. III,"1st Edition, July 2017",CAEP/10 InProduction,1.443,1.615,1.545,89.3,93.4,,5/21/2021,,
CO200005,Airbus S.A.S.,A330-941,EASA.A.004,904,,,"230,000",Rolls-Royce,Trent 7000-72,EASA.E.036,,,2,,,,,,5/21/2021,CS-CO2,"Issue 1, July 2019",Annex 16 Vol. III,"1st Edition, July 2017",CAEP/10 InProduction,1.42,1.598,1.529,88.9,92.9,"Also applicable to weight variants with MTOM < 230,000 kg",5/21/2021,,
CO200006,Airbus S.A.S.,A330-941,EASA.A.004,910,,,"245,000",Rolls-Royce,Trent 7000-72,EASA.E.036,,,2,,,,,,5/21/2021,CS-CO2,"Issue 1, July 2019",Annex 16 Vol. III,"1st Edition, July 2017",CAEP/10 InProduction,1.507,1.662,1.59,90.7,94.8,,5/21/2021,,
CO200007,Airbus S.A.S.,A330-941,EASA.A.004,911,,,"245,000",Rolls-Royce,Trent 7000-72,EASA.E.036,,,2,,,,,,5/21/2021,CS-CO2,"Issue 1, July 2019",Annex 16 Vol. III,"1st Edition, July 2017",CAEP/10 InProduction,1.507,1.662,1.59,90.7,94.8,,5/21/2021,,
CO200008,Airbus S.A.S.,A330-941,EASA.A.004,912,,,"241,000",Rolls-Royce,Trent 7000-72,EASA.E.036,,,2,,,,,,5/21/2021,CS-CO2,"Issue 1, July 2019",Annex 16 Vol. III,"1st Edition, July 2017",CAEP/10 InProduction,1.484,1.645,1.574,90.2,94.3,,5/21/2021,,
CO200009,Airbus S.A.S.,A330-941,EASA.A.004,900,208409,Wing retwist,"242,000",Rolls-Royce,Trent 7000-72,EASA.E.036,,,2,,,,,,4/25/2022,CS-CO2,"Issue 1, July 2019",Annex 16 Vol. III,"1st Edition, July 2017",CAEP/10 InProduction,1.475,1.649,1.578,89.4,93.5,,4/25/2022,,
CO200010,Airbus S.A.S.,A330-941,EASA.A.004,901,208409,Wing retwist,"242,000",Rolls-Royce,Trent 7000-72,EASA.E.036,,,2,,,,,,4/25/2022,CS-CO2,"Issue 1, July 2019",Annex 16 Vol. III,"1st Edition, July 2017",CAEP/10 InProduction,1.475,1.649,1.578,89.4,93.5,,4/25/2022,,
